"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-1.93163312405618,-1.7665364657693,-1.79631981260315,-1.39998062023729,-1.48308615101668,-1.66991367441917,-1.6784414228967,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.48308615101668,-1.53792351805287,-1.79631981260315,-2.13656166609247,-2.1907880570295,-2.10366200789041,-2.13874686666696,-2.13656166609247,-1.86137231862146,-2.12923015210364
-1.93163312405618,-1.7665364657693,-1.61902066953854,-1.39998062023729,-1.48308615101668,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.53792351805287,-1.79631981260315,-2.13656166609247,-2.02395758012015,-2.10366200789041,-2.10366200789041,-2.13874686666696,-1.86137231862146,-2.12923015210364
-1.93163312405618,-1.7665364657693,-1.61902066953854,-1.51384804211541,-1.39998062023729,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.53792351805287,-1.79631981260315,-2.13656166609247,-2.08510260799994,-2.34237091035566,-2.29244902396514,-2.29244902396514,-1.86137231862146,-1.96507706735953
-1.9186481439966,-1.63484318265051,-1.60402317324789,-1.61902066953854,-1.39998062023729,-1.53792351805287,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.53792351805287,-2.13656166609247,-1.99698095520048,-2.08510260799994,-2.34237091035566,-2.34237091035566,-2.29244902396514,-1.84946757362535,-1.99810354267169
-1.76946929609215,-1.76946929609215,-1.60402317324789,-1.44932278800868,-1.53792351805287,-1.53792351805287,-1.66991367441917,-1.66991367441917,-1.66991367441917,-1.53792351805287,-1.53792351805287,-1.57780432196948,-2.00978871367343,-2.02395758012015,-2.00681266844107,-2.34237091035566,-2.34237091035566,-2.34237091035566,-1.84946757362535,-1.99810354267169
-1.91364087125361,-1.76946929609215,-1.57780432196948,-1.32780441127229,-1.51384804211541,-1.53792351805287,-1.79631981260315,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.23267628919532,-1.57780432196948,-2.00681266844107,-2.00681266844107,-2.20862687186595,-2.34237091035566,-2.34237091035566,-1.84946757362535,-1.99810354267169
-1.91364087125361,-1.76946929609215,-1.54095408789487,-1.18989090471732,-1.32780441127229,-1.53792351805287,-1.79631981260315,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.23267628919532,-2.00681266844107,-2.00681266844107,-2.00681266844107,-2.45007809457672,-2.40263217759305,-2.40263217759305,-1.96507706735953,-2.42279521947051
-1.57896903914089,-1.76946929609215,-1.54095408789487,-1.17491893115764,-1.32780441127229,-1.57780432196948,-1.79631981260315,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.23267628919532,-2.00681266844107,-2.00681266844107,-1.92448419704187,-1.92448419704187,-1.92448419704187,-2.40263217759305,-1.96507706735953,-1.92448419704187
-1.56067761368897,-1.76946929609215,-1.54095408789487,-1.17491893115764,-1.18989090471732,-1.32780441127229,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.53792351805287,-1.28581311454752,-1.76946929609215,-1.72948074332003,-1.92448419704187,-1.92448419704187,-1.92448419704187,-2.40263217759305,-1.96507706735953,-1.64850031370762
-1.56067761368897,-1.76946929609215,-1.54095408789487,-1.03881840425902,-1.18989090471732,-1.18989090471732,-1.60239721966401,-1.53792351805287,-1.57780432196948,-1.57780432196948,-1.57780432196948,-1.00244234366776,-1.54095408789487,-1.92448419704187,-1.92448419704187,-1.92448419704187,-1.92448419704187,-2.42279521947051,-1.52929039072497,-1.32889799806973
-1.56067761368897,-1.3889304359793,-1.33991255149609,-0.948174036933769,-1.03881840425902,-1.18989090471732,-1.57780432196948,-1.57780432196948,-1.57780432196948,-1.57780432196948,-1.26285615656297,-0.857620967986427,-1.52929039072497,-1.92448419704187,-1.71048454553573,-1.92448419704187,-1.91186714978962,-1.92448419704187,-1.52929039072497,-1.05833338681028
-1.56067761368897,-1.3889304359793,-1.33991255149609,-0.948174036933769,-1.03881840425902,-1.00936631918741,-1.57780432196948,-1.57780432196948,-1.57780432196948,-1.26285615656297,-1.18989090471732,-0.857620967986427,-1.36097591123393,-1.43679276539613,-1.44108441770688,-1.44108441770688,-1.91186714978962,-1.91186714978962,-1.52929039072497,-0.93330360320371
-1.51655017908045,-1.2518757792025,-1.33991255149609,-0.840147934773736,-1.03881840425902,-1.19706314403721,-1.18989090471732,-1.57780432196948,-1.18989090471732,-1.18989090471732,-1.23267628919532,-0.857620967986427,-1.36097591123393,-1.2979001243095,-1.25871822430754,-1.25871822430754,-1.91186714978962,-1.91186714978962,-1.64846042706749,-0.794830175710553
-1.2518757792025,-1.08550974943477,-1.33991255149609,-0.840147934773736,-0.948174036933769,-1.19706314403721,-1.18989090471732,-1.18989090471732,-1.23267628919532,-1.23267628919532,-1.23267628919532,-0.81551145872531,-1.03423359238125,-1.22161752683976,-0.836898772531957,-1.05833338681028,-1.05833338681028,-1.91186714978962,-1.22608933002316,-0.794830175710553
-0.95276596936896,-0.913145170857457,-1.19561109444543,-0.762134792222318,-0.94034493559437,-0.948174036933769,-1.18989090471732,-1.23267628919532,-1.34439590833508,-1.00244234366776,-1.00244234366776,-0.840147934773736,-1.03423359238125,-0.877384554576945,-0.836898772531957,-1.05833338681028,-1.05833338681028,-1.91186714978962,-1.22608933002316,-0.633217468392583
-0.95276596936896,-0.865850057001761,-0.916861946875339,-0.723964366700465,-0.840147934773736,-0.786653373172155,-1.18989090471732,-1.34439590833508,-1.00244234366776,-1.00244234366776,-1.05623916003179,-0.840147934773736,-0.840147934773736,-0.836898772531957,-0.836898772531957,-1.05833338681028,-1.05833338681028,-1.05833338681028,-0.973943792160641,-0.476746952516597
-0.95276596936896,-0.865850057001761,-0.916861946875339,-0.596526660406247,-0.829662164090411,-0.786653373172155,-1.00244234366776,-1.34439590833508,-0.857620967986427,-0.857620967986427,-0.857620967986427,-0.829662164090411,-0.840147934773736,-0.836898772531957,-0.836898772531957,-1.05833338681028,-0.676542933186273,-1.05833338681028,-0.854257711045786,-0.120935406683327
-0.532969392664779,-0.756241297264883,-0.836898772531957,-0.596526660406247,-0.829662164090411,-0.786653373172155,-0.857620967986427,-0.857620967986427,-0.857620967986427,-0.857620967986427,-0.857620967986427,-0.667232102210354,-0.80997220821471,-0.836898772531957,-0.676542933186273,-0.859719201383068,-0.676542933186273,-0.854257711045786,-0.676542933186273,-0.120935406683327
-0.532969392664779,-0.532969392664779,-0.646139902738475,-0.312367893527929,-0.667232102210354,-0.667232102210354,-0.857620967986427,-0.857620967986427,-0.857620967986427,-0.857620967986427,-0.81551145872531,-0.667232102210354,-0.596526660406247,-0.829542595506666,-0.676542933186273,-0.745894438536542,-0.523084875530706,-0.676542933186273,-0.292787029359084,0.0700195063107149
-0.108202757935057,-0.532969392664779,-0.646139902738475,-0.312367893527929,-0.598382312238358,-0.667232102210354,-0.857620967986427,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.477874982039843,-0.596526660406247,-0.829542595506666,-0.676542933186273,-0.745894438536542,-0.523084875530706,-0.676542933186273,-0.187981016975572,0.0700195063107149
-0.108202757935057,-0.532969392664779,-0.31111844911736,-0.0646068895765284,-0.598382312238358,-0.667232102210354,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.477874982039843,-0.596526660406247,-0.67204005516457,-0.676542933186273,-0.676542933186273,-0.523084875530706,-0.399203455946802,-0.187981016975572,0.0700195063107149
-0.108202757935057,-0.532969392664779,-0.0516787599639304,-0.0646068895765284,-0.477874982039843,-0.667232102210354,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.786653373172155,-0.779757200466961,-0.477874982039843,-0.596526660406247,-0.596526660406247,-0.449524480974266,-0.374134612489997,-0.364619592626331,-0.399203455946802,0.0700195063107149,0.427739728089829
-0.108202757935057,-0.0516787599639304,-0.0516787599639304,-0.0646068895765284,-0.261167632559568,-0.477874982039843,-0.736096694418568,-0.786653373172155,-0.736096694418568,-0.736096694418568,-0.667232102210354,-0.334912887325395,-0.596526660406247,-0.596526660406247,-0.364796401284575,-0.364619592626331,-0.292787029359084,-0.399203455946802,0.0700195063107149,0.427739728089829
0.186459166016415,-0.0516787599639304,-0.0516787599639304,-0.0646068895765284,-0.261167632559568,-0.261167632559568,-0.667232102210354,-0.667232102210354,-0.667232102210354,-0.667232102210354,-0.667232102210354,-0.145136949754129,-0.458058424507434,-0.514236395988999,-0.364796401284575,-0.292787029359084,-0.292787029359084,-0.292787029359084,0.378910619006027,0.427739728089829
